,City,Post Office,Pin Code
0,Mumbai,August Kranti Marg,400036
1,Mumbai,Aarey Milk Colony,400065
2,Mumbai,Andheri (East),400069
3,Mumbai,Andheri (West),400058
4,Mumbai,Antop Hill,400037
5,Mumbai,Ballard Estate,400038
6,Mumbai,Bandra (East),400051
7,Mumbai,Bandra (West),400050
8,Mumbai,Bangur Nagar,400090
9,Mumbai,Barve Nagar,400084
10,Mumbai,Bhandup,400078
11,Mumbai,Bhandup (East),400042
12,Mumbai,Mumbai Central,400008
13,Mumbai,Borivli (East),400066
14,Mumbai,Borivli (West),400092
15,Mumbai,Borivli HO,400091
16,Mumbai,Chakala MIDC,400093
17,Mumbai,Chembur,400071
18,Mumbai,Chinch Bunder,400009
19,Mumbai,Colaba,400005
20,Mumbai,Cumballa Hill,400026
21,Mumbai,Dadar,400014
22,Mumbai,Dahisar,400068
23,Mumbai,Delisle Road,400013
24,Mumbai,Dharavi,400017
25,Mumbai,FCI Mumbai,400074
26,Mumbai,Ghatkopar (West),400086
27,Mumbai,Girgaon,400004
28,Mumbai,Goregaon (East),400063
29,Mumbai,Goregaon (West),400062
30,Mumbai,Grant Road,400007
31,Mumbai,Hutatma Chowk,400023
32,Mumbai,IIT Mumbai,400076
33,Mumbai,JB Nagar,400059
34,Mumbai,Jacob Circle,400011
35,Mumbai,Jogeshwari (East),400060
36,Mumbai,Jogeshwari (West),400102
37,Mumbai,Juhu,400049
38,Mumbai,Kalbadevi,400002
39,Mumbai,Kandivli (East),400101
40,Mumbai,Kandivli (West),400067
41,Mumbai,Khar,400052
42,Mumbai,Kharodi,400095
43,Mumbai,Kurla,400070
44,Mumbai,Mahim,400016
45,Mumbai,Malabar Hill,400006
46,Mumbai,Malad (East),400097
47,Mumbai,Malad (West),400064
48,Mumbai,Mandpeshwar,400103
49,Mumbai,Mandvi,400003
50,Mumbai,Mantralaya,400032
51,Mumbai,Marine Lines,400020
52,Mumbai,Matunga,400019
53,Mumbai,Mazgaon,400010
54,Mumbai,Motilal Nagar,400104
55,Mumbai,Mulund (East),400081
56,Mumbai,Mulund (West),400080
57,Mumbai,Mulund Colony,400082
58,Mumbai,Nariman Point,400021
59,Mumbai,Nehru Nagar,400024
60,Mumbai,Pant Nagar,400075
61,Mumbai,Parel,400012
62,Mumbai,Prabhadevi,400025
63,Mumbai,Rajawadi,400077
64,Mumbai,SEEPZ,400096
65,Mumbai,Sahar,400099
66,Mumbai,Saki Naka,400072
67,Mumbai,Santacruz (East),400055
68,Mumbai,Santacruz (West),400054
69,Mumbai,Santacruz P&T Colony,400029
70,Mumbai,Sewri,400015
71,Mumbai,Shivaji Nagar (Kurla),400043
72,Mumbai,Sion,400022
73,Mumbai,Tagore Nagar,400083
74,Mumbai,Tank Road,400033
75,Mumbai,Telecom Factory Deonar,400088
76,Mumbai,Tilak Nagar,400089
77,Mumbai,Tulsiwadi,400034
78,Mumbai,Vikhroli,400079
79,Mumbai,Vile Parle (East),400057
80,Mumbai,Vile Parle (West),400056
81,Mumbai,Wadala,400031
82,Mumbai,Worli,400018
83,Navi Mumbai,Belapur,400611
84,Navi Mumbai,Ghansoli,400701
85,Navi Mumbai,Mumbra,400612
86,Navi Mumbai,Turbhe,400613
87,Navi Mumbai,Uran,400702
88,Navi Mumbai,Vashi,400703
89,Thane,Bhayandar,401101
90,Thane,Bhayander (East),401105
91,Thane,Boisar,401501
92,Thane,Manor,401403
93,Thane,Mira,401104
94,Thane,Mira Road,401107
95,Thane,Naupada,400602
96,Thane,Nirmal,401304
97,Thane,Thane (East),400603
98,Thane,Thane (HQ),400601
99,Thane,Uttan,401106
100,Thane,Virar,401303
101,Mumbai,Anushakti Nagar,400094
102,Mumbai,Bhavanishankar Road,400028
103,Mumbai,Mumbai GPO,400001
104,Mumbai,Council Hall,400039
105,Mumbai,NITIE,400087
106,Mumbai,Raj Bhavan,400035
107,Mumbai,Mumbai Zoo,400027
108,Mumbai,Versova,400061
109,Mumbai,Vidya Nagari,400098
110,Navi Mumbai,Airoli Mode,400708
111,Navi Mumbai,JNPT Town Ship,400707
112,Navi Mumbai,Konkan Bhawan,400614
113,Navi Mumbai,Krishi Utpanna Bazar,400705
114,Navi Mumbai,Nerul Mode,400706
115,Thane,Agashi,401301
116,Thane,Arnala,401302
117,Thane,Balcum,400608
118,Thane,Bassien,401201
119,Thane,Bassien Road,401202
120,Thane,Ganeshpuri,401206
121,Thane,Jakegram,400606
122,Thane,Kalwa,400605
123,Thane,Kopri Colony,400603
124,Thane,Papdi,401207
125,Thane,Sandoz Baug,400607
126,Thane,Sopara,401203
127,Thane,Umbarpada,401102
128,Thane,Vasai East I/E,401208
129,Thane,Vasai Road East,401210
130,Mumbai,BARC,400085
131,Thane,Talasari,401606
132,Navi Mumbai,NAD Karanja,400704
133,Thane,Jawhar,401603
